Small Unit Installation Postcode,Previous Years (2001-2020) - Installations Quantity,Previous Years (2001-2020) - SGU Rated Output In kW,Jan 2021 - Installations Quantity,Jan 2021 - SGU Rated Output In kW,Feb 2021 - Installations Quantity,Feb 2021 - SGU Rated Output In kW,Mar 2021 - Installations Quantity,Mar 2021 - SGU Rated Output In kW,Apr 2021 - Installations Quantity,Apr 2021 - SGU Rated Output In kW,May 2021 - Installations Quantity,May 2021 - SGU Rated Output In kW,Jun 2021 - Installations Quantity,Jun 2021 - SGU Rated Output In kW,Jul 2021 - Installations Quantity,Jul 2021 - SGU Rated Output In kW,Aug 2021 - Installations Quantity,Aug 2021 - SGU Rated Output In kW,Sep 2021 - Installations Quantity,Sep 2021 - SGU Rated Output In kW,Oct 2021 - Installations Quantity,Oct 2021 - SGU Rated Output In kW,Nov 2021 - Installations Quantity,Nov 2021 - SGU Rated Output In kW,Dec 2021 - Installations Quantity,Dec 2021 - SGU Rated Output In kW,Jan 2022- Installations Quantity,Jan 2022 - SGU Rated Output In kW,Feb 2022- Installations Quantity,Feb 2022 - SGU Rated Output In kW,Mar 2022- Installations Quantity,Mar 2022 - SGU Rated Output In kW,Apr 2022- Installations Quantity,Apr 2022 - SGU Rated Output In kW,May 2022- Installations Quantity,May 2022 - SGU Rated Output In kW,June 2022- Installations Quantity,June 2022 - SGU Rated Output In kW,Installations Quantity Total,SGU Rated Output In kW Total
3094,534,2105.028,8,46.13,7,40,7,51.38,10,72.23,7,42.79,8,48.84,10,63.29,10,89.28,5,36.37,7,50.95,7,45.68,9,88.315,1,7.4,4,28.09,6,42,7,43,6,47,4,36,657,2984.143
3106,1197,5537.152,17,123.24,14,100.77,21,148.41,18,158.27,14,128.94,13,113.23,22,167.23,18,116.68,16,150.99,12,105.205,16,114.49,15,172.51,8,78.22,16,134.91,10,68.2,8,58,4,29,4,32,1443,7537.402
3108,1127,5164.92,17,111.9,23,135.31,23,186.74,20,129.06,14,167.49,20,133.225,27,172.985,15,102.2,12,188.49,20,128.55,20,225.01,25,203.3,9,69.395,17,127.79,15,103.8,9,62,6,42,4,38,1423,7491.575
3127,911,3838.542,9,60.21,12,77.85,13,97.105,19,126.02,9,55.19,10,57.79,13,91.21,5,31.08,4,33.04,14,92.54,14,92.145,13,89.705,14,97.99,15,106.285,10,69.08,1,7,12,109,4,30,1102,5161.832
3131,1484,6914.418,21,149.585,18,121.55,24,169.97,15,91.72,11,76.94,21,152.72,20,281.18,22,192.455,15,106.17,18,217.155,21,238.235,18,179.46,9,74.7,7,40.59,11,164.26,10,66,9,56,4,64,1758,9357.448
3155,1669,7110.283,20,114.44,17,97.32,26,166.71,25,137.745,21,167.985,40,241.4,24,156.99,16,124.44,8,48.325,15,100.3,30,194.85,15,92.19,7,41.29,16,205.48,14,120.15,12,73,7,52,4,35,1986,9280.098
3172,1683,7770.306,25,167.54,26,171.72,34,251.48,33,236.005,29,182.85,26,299.985,31,263.25,17,114.825,16,159.79,20,149.4,17,166.35,19,157.665,16,113.625,18,126.345,12,94.53,16,114,10,129,4,30,2052,10699.561
3177,690,2760.112,8,48.79,12,72.9,8,55.51,12,72.71,7,45.58,18,207.37,8,61.73,5,32.93,7,50.29,14,87.56,11,72.37,9,59.78,2,13.82,9,31.42,10,74.91,6,38,6,41,4,21,846,3848.207
3192,1231,6722.958,14,95.48,17,122.75,22,155.39,13,79.06,14,216.41,17,118.06,22,134.94,17,167.02,12,114.85,22,274.77,24,304.05,14,158.31,15,110.37,35,258.59,21,253.805,14,132,15,129,4,28,1543,9575.673
3227,751,3520.608,4,30.25,14,92.765,9,71.08,10,75.09,4,23.08,5,29.84,7,46.58,17,102.28,5,38.8,9,65.195,6,57.12,8,54.86,5,34.4,7,59.385,10,73.585,3,22,3,19,4,40,881,4456.158
