Small Unit Installation Postcode,Previous Years (2001-2020) - Installation Quantity,Previous Years (2001-2020) - SGU Output Rated Output in kW,Jan 2021 - Installations Quantity,Jan 2021 - SGU Rated Output In kW,Feb 2021 - Installations Quantity,Feb 2021 - SGU Rated Output In kW,Mar 2021 - Installations Quantity,Mar 2021 - SGU Rated Output In kW,Apr 2021 - Installations Quantity,Apr 2021 - SGU Rated Output In kW,May 2021 - Installations Quantity,May 2021 - SGU Rated Output In kW,June 2021 - Installations Quantity,June 2021 - SGU Rated Output In kW,July 2021 - Installations Quantity,July 2021 - SGU Rated Output In kW,Aug 2021 - Installations Quantity,Aug 2021 - SGU Rated Output In kW,Sep 2021 - Installations Quantity,Sep 2021 - SGU Rated Output In kW,Oct 2021 - Installations Quantity,Oct 2021 - SGU Rated Output In kW,Nov 2021 - Installations Quantity,Nov 2021 - SGU Rated Output In kW,Dec 2021 - Installations Quantity,Dec 2021 - SGU Rated Output In kW,Jan 2022 - Installations Quantity,Jan 2022 - SGU Rated Output In kW,Feb 2022 - Installations Quantity,Feb 2022 - SGU Rated Output In kW,Mar 2022 - Installations Quantity,Mar 2022 - SGU Rated Output in kW,Apr 2022 - Installations Quantity,Apr 2022 - SGU Rated Output in kW,May 2022 - Installations Quantity,May 2022 - SGU Rated Output in kW,June 2022 - Installations Quantity,June 2022 - SGU Rated Output in kW,July 2022 - Installations Quantity,July 2022 - SGU Rated Output in kW,Installations Quantity Total,SGU Rated Output In kW Total
3057,426,1841.23,4,25.07,1,5.92,3,17.76,6,24.15,4,32.19,0,0.00,3,12.20,3,18.26,1,6.66,3,18.50,6,66.22,5,33.37,3,25.83,3,32.36,6,40.63,3,15,3,54,3,25,0,0.00,486,2294.28
3058,2172,10141.62,22,144.57,27,175.24,26,178.79,23,135.71,26,222.58,32,348.83,29,320.83,25,206.86,16,129.44,23,293.85,39,280.81,23,144.49,10,66.54,21,143.12,25,209.00,14,96,19,151,7,41,6,37.90,2585,13467.96
3059,1611,8520.35,38,270.76,46,414.96,42,325.89,40,328.11,33,388.93,48,400.86,42,338.63,28,222.25,48,414.05,34,281.09,40,439.25,40,367.99,19,193.00,18,170.87,16,132.16,19,161,17,149,17,161,6,53.63,2202,13733.37
3060,623,2773.62,19,117.61,18,125.79,12,71.95,12,79.01,8,48.56,12,74.36,4,24.09,12,77.20,9,48.21,7,51.37,10,80.37,6,40.33,6,25.77,3,9.12,12,70.86,7,34,7,39,7,40,3,23.36,797,3854.74
3061,561,9019.94,6,113.53,13,184.79,15,370.46,8,194.52,15,432.63,17,240.06,14,237.67,9,188.91,8,172.54,9,318.66,12,301.54,8,200.41,4,83.96,9,293.10,13,501.32,6,95,5,91,10,190,7,90.39,749,13319.55
3062,40,1325.73,0,0.00,0,0.00,3,119.57,2,142.20,0,0.00,2,138.60,0,0.00,1,6.40,4,163.15,1,99.36,0,0.00,5,242.91,0,0.00,1,17.94,0,0.00,3,15,1,20,2,131,0,0.00,65,2421.93
3063,65,431.70,0,0.00,2,22.44,4,61.63,1,9.99,0,0.00,0,0.00,0,0.00,2,29.97,0,0.00,1,20.02,1,10.56,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,1,18,0,0.00,77,603.91
3064,9268,48373.13,239,1660.55,242,1778.57,263,1835.9,253,1862.18,229,1764.68,304,2183.21,320,2396.61,292,2215.25,195,1419.18,234,1918.21,249,1813.48,217,1940.36,70,492.75,110,845.00,131,1097.11,103,793,100,781,116,876,64,525.60,12999,76571.82
3065,240,1133.65,1,1.48,1,6.62,4,28.97,1,5.92,2,11.04,2,11.92,3,26.70,1,2.46,2,7.91,1,3.28,1,6.66,0,0.00,1,6.60,2,11.55,2,18.50,1,6,1,6,1,7,0,0.00,267,1301.41
3066,177,1141.17,0,0.00,2,7.40,2,9.99,1,3.70,3,123.38,1,51.15,0,0.00,0,0.00,4,30.08,0,0.00,4,26.34,2,11.49,0,0.00,2,43.35,1,8.10,4,81,4,86,0,0,0,0.00,207,1623.37
